city_name,hotel_count,hotel_avg_score,restaurant_count,restaurant_avg_score,attraction_count,attraction_avg_score,tourist_count
An Giang,0,0.0,0,0.0,1,0.9458,145000
Bắc Ninh,0,0.0,0,0.0,1,0.7339,143000
Bà Rịa-Vũng Tàu,0,0.0,0,0.0,3,0.9811,145000
Bình Dương,0,0.0,0,0.0,1,1.0505,144000
Cần Thơ,17,0.9473,20,0.9073,12,0.9429,409023
Đà Nẵng,20,0.9801,20,0.9247,18,1.147,3497561
Đồng Nai,0,0.0,0,0.0,1,0.9581,139000
Đồng Tháp,0,0.0,0,0.0,3,0.8867,138000
Hải Phòng,0,0.0,0,0.0,11,0.8185,930000
Hà Nội,20,0.8721,20,0.8649,11,1.0173,7025000
Hồ Chí Minh,20,0.9529,20,0.9223,12,1.1306,8619000
Khánh Hòa,20,0.937,20,0.9217,21,1.0714,3560175
Kiên Giang,19,0.9101,0,0.0,12,1.0104,713291
Lâm Đồng,19,0.5298,20,0.5173,19,0.6555,533000
Ninh Bình,0,0.0,0,0.0,7,0.9911,970000
Quảng Nam,20,0.9318,20,0.9613,22,1.1147,4600000
Tây Ninh,0,0.0,0,0.0,1,1.0973,141000
Tiền Giang,0,0.0,0,0.0,4,0.7584,142000
Vĩnh Long,0,0.0,0,0.0,1,0.9294,140000
